Rate,Effect,Noise_T,Noise_U,Size,C_Type,T_AUC,U_AUC,AVG_AUC,S_Type,AUC
0.8,0.12,0.8,0.8,0,PerfectClassifier,0.585859629658,0.597037952296,0.591448790977,TargetMaxTreatment,0.557995842742
0.8,0.12,0.85,0.85,0,PerfectClassifier,0.585679440009,0.579147378482,0.582413409246,TargetLeastLikely,0.569044986798
0.8,0.12,0.85,0.85,0,PerfectClassifier,0.585679440009,0.579147378482,0.582413409246,TargetMostLikely,0.48359150015
0.8,0.12,0.85,0.85,0,PerfectClassifier,0.585679440009,0.579147378482,0.582413409246,TargetMaxTreatment,0.552611385931
0.8,0.12,0.9,0.9,0,PerfectClassifier,0.546862651014,0.554726824806,0.55079473791,TargetLeastLikely,0.549801110506
0.8,0.12,0.9,0.9,0,PerfectClassifier,0.546862651014,0.554726824806,0.55079473791,TargetMostLikely,0.485263070593
0.8,0.12,0.9,0.9,0,PerfectClassifier,0.546862651014,0.554726824806,0.55079473791,TargetMaxTreatment,0.535081765681
0.8,0.12,0.95,0.95,0,PerfectClassifier,0.519471398912,0.531291287115,0.525381343013,TargetLeastLikely,0.526983452398
0.8,0.12,0.95,0.95,0,PerfectClassifier,0.519471398912,0.531291287115,0.525381343013,TargetMostLikely,0.486103522015
0.8,0.12,0.95,0.95,0,PerfectClassifier,0.519471398912,0.531291287115,0.525381343013,TargetMaxTreatment,0.513069705003
0.8,0.12,1.0,1.0,0,PerfectClassifier,0.497806420985,0.505776927194,0.501791674089,TargetLeastLikely,0.506646990233
0.8,0.12,1.0,1.0,0,PerfectClassifier,0.497806420985,0.505776927194,0.501791674089,TargetMostLikely,0.499892573895
0.8,0.12,1.0,1.0,0,PerfectClassifier,0.497806420985,0.505776927194,0.501791674089,TargetMaxTreatment,0.506523584495
0.33,0.33,0.0,0.0,0,PerfectClassifier,1.0,1.0,1.0,TargetLeastLikely,0.746563060371
0.33,0.33,0.0,0.0,0,PerfectClassifier,1.0,1.0,1.0,TargetMostLikely,0.754034668261
0.33,0.33,0.0,0.0,0,PerfectClassifier,1.0,1.0,1.0,TargetMaxTreatment,1.0
0.33,0.33,0.05,0.05,0,PerfectClassifier,0.974425252436,0.974998025633,0.974711639035,TargetLeastLikely,0.724000981474
0.33,0.33,0.05,0.05,0,PerfectClassifier,0.974425252436,0.974998025633,0.974711639035,TargetMostLikely,0.732713697745
0.33,0.33,0.05,0.05,0,PerfectClassifier,0.974425252436,0.974998025633,0.974711639035,TargetMaxTreatment,0.956148608069
0.33,0.33,0.1,0.1,0,PerfectClassifier,0.948153245481,0.949240925574,0.948697085527,TargetLeastLikely,0.708282366239
0.33,0.33,0.1,0.1,0,PerfectClassifier,0.948153245481,0.949240925574,0.948697085527,TargetMostLikely,0.712745903295
0.33,0.33,0.1,0.1,0,PerfectClassifier,0.948153245481,0.949240925574,0.948697085527,TargetMaxTreatment,0.920487049272
0.33,0.33,0.15,0.15,0,PerfectClassifier,0.924803850982,0.924006760098,0.92440530554,TargetLeastLikely,0.694707545486
0.33,0.33,0.15,0.15,0,PerfectClassifier,0.924803850982,0.924006760098,0.92440530554,TargetMostLikely,0.693016545086
0.33,0.33,0.15,0.15,0,PerfectClassifier,0.924803850982,0.924006760098,0.92440530554,TargetMaxTreatment,0.887207047172
0.33,0.33,0.2,0.2,0,PerfectClassifier,0.906417684643,0.901363309329,0.903890496986,TargetLeastLikely,0.674096606724
0.33,0.33,0.2,0.2,0,PerfectClassifier,0.906417684643,0.901363309329,0.903890496986,TargetMostLikely,0.68547481179
0.33,0.33,0.2,0.2,0,PerfectClassifier,0.906417684643,0.901363309329,0.903890496986,TargetMaxTreatment,0.859073871095
0.33,0.33,0.25,0.25,0,PerfectClassifier,0.873084411287,0.87885324332,0.875968827304,TargetLeastLikely,0.659366353863
0.33,0.33,0.25,0.25,0,PerfectClassifier,0.873084411287,0.87885324332,0.875968827304,TargetMostLikely,0.668250770664
0.33,0.33,0.25,0.25,0,PerfectClassifier,0.873084411287,0.87885324332,0.875968827304,TargetMaxTreatment,0.827142948564
0.33,0.33,0.3,0.3,0,PerfectClassifier,0.841579315164,0.847206228352,0.844392771758,TargetLeastLikely,0.643620770677
0.33,0.33,0.3,0.3,0,PerfectClassifier,0.841579315164,0.847206228352,0.844392771758,TargetMostLikely,0.642613788937
0.33,0.33,0.3,0.3,0,PerfectClassifier,0.841579315164,0.847206228352,0.844392771758,TargetMaxTreatment,0.785788466702
0.33,0.33,0.35,0.35,0,PerfectClassifier,0.823348664728,0.824064918115,0.823706791421,TargetLeastLikely,0.629201098725
0.33,0.33,0.35,0.35,0,PerfectClassifier,0.823348664728,0.824064918115,0.823706791421,TargetMostLikely,0.635863183411
0.33,0.33,0.35,0.35,0,PerfectClassifier,0.823348664728,0.824064918115,0.823706791421,TargetMaxTreatment,0.764701107873
0.33,0.33,0.4,0.4,0,PerfectClassifier,0.800615867301,0.803974355795,0.802295111548,TargetLeastLikely,0.617658592957
0.33,0.33,0.4,0.4,0,PerfectClassifier,0.800615867301,0.803974355795,0.802295111548,TargetMostLikely,0.622633608367
0.33,0.33,0.4,0.4,0,PerfectClassifier,0.800615867301,0.803974355795,0.802295111548,TargetMaxTreatment,0.739949352883
0.33,0.33,0.45,0.45,0,PerfectClassifier,0.775634284938,0.77067864483,0.773156464884,TargetLeastLikely,0.603237843752
0.33,0.33,0.45,0.45,0,PerfectClassifier,0.775634284938,0.77067864483,0.773156464884,TargetMostLikely,0.60593423895
0.33,0.33,0.45,0.45,0,PerfectClassifier,0.775634284938,0.77067864483,0.773156464884,TargetMaxTreatment,0.708849011167
0.33,0.33,0.5,0.5,0,PerfectClassifier,0.75080959051,0.746160264476,0.748484927493,TargetLeastLikely,0.589706490285
0.33,0.33,0.5,0.5,0,PerfectClassifier,0.75080959051,0.746160264476,0.748484927493,TargetMostLikely,0.597974369574
0.33,0.33,0.5,0.5,0,PerfectClassifier,0.75080959051,0.746160264476,0.748484927493,TargetMaxTreatment,0.687443406366
0.33,0.33,0.55,0.55,0,PerfectClassifier,0.733221041721,0.721356839799,0.72728894076,TargetLeastLikely,0.573024159401
0.33,0.33,0.55,0.55,0,PerfectClassifier,0.733221041721,0.721356839799,0.72728894076,TargetMostLikely,0.595599891991
0.33,0.33,0.55,0.55,0,PerfectClassifier,0.733221041721,0.721356839799,0.72728894076,TargetMaxTreatment,0.668329474627
0.33,0.33,0.6,0.6,0,PerfectClassifier,0.702539066801,0.694310835625,0.698424951213,TargetLeastLikely,0.565237432507
0.33,0.33,0.6,0.6,0,PerfectClassifier,0.702539066801,0.694310835625,0.698424951213,TargetMostLikely,0.573437031739
0.33,0.33,0.6,0.6,0,PerfectClassifier,0.702539066801,0.694310835625,0.698424951213,TargetMaxTreatment,0.638471743376
0.33,0.33,0.65,0.65,0,PerfectClassifier,0.682237508665,0.677668489856,0.679952999261,TargetLeastLikely,0.558291610187
0.33,0.33,0.65,0.65,0,PerfectClassifier,0.682237508665,0.677668489856,0.679952999261,TargetMostLikely,0.568893794678
0.33,0.33,0.65,0.65,0,PerfectClassifier,0.682237508665,0.677668489856,0.679952999261,TargetMaxTreatment,0.626986909771
0.33,0.33,0.7,0.7,0,PerfectClassifier,0.650791739505,0.651984519191,0.651388129348,TargetLeastLikely,0.553425130471
0.33,0.33,0.7,0.7,0,PerfectClassifier,0.650791739505,0.651984519191,0.651388129348,TargetMostLikely,0.555586206375
0.33,0.33,0.7,0.7,0,PerfectClassifier,0.650791739505,0.651984519191,0.651388129348,TargetMaxTreatment,0.608958316282
0.33,0.33,0.75,0.75,0,PerfectClassifier,0.614965979442,0.625032152198,0.61999906582,TargetLeastLikely,0.540559952404
0.33,0.33,0.75,0.75,0,PerfectClassifier,0.614965979442,0.625032152198,0.61999906582,TargetMostLikely,0.531818442759
0.33,0.33,0.75,0.75,0,PerfectClassifier,0.614965979442,0.625032152198,0.61999906582,TargetMaxTreatment,0.572155698681
0.33,0.33,0.8,0.8,0,PerfectClassifier,0.605642290789,0.603260728752,0.604451509771,TargetLeastLikely,0.53917172771
0.33,0.33,0.8,0.8,0,PerfectClassifier,0.605642290789,0.603260728752,0.604451509771,TargetMostLikely,0.533685940445
0.33,0.33,0.8,0.8,0,PerfectClassifier,0.605642290789,0.603260728752,0.604451509771,TargetMaxTreatment,0.572697742133
0.33,0.33,0.85,0.85,0,PerfectClassifier,0.580514651508,0.585328701446,0.582921676477,TargetLeastLikely,0.526693188032
0.33,0.33,0.85,0.85,0,PerfectClassifier,0.580514651508,0.585328701446,0.582921676477,TargetMostLikely,0.52807787821
0.33,0.33,0.85,0.85,0,PerfectClassifier,0.580514651508,0.585328701446,0.582921676477,TargetMaxTreatment,0.55468802526
0.33,0.33,0.9,0.9,0,PerfectClassifier,0.54699335703,0.550514167892,0.548753762461,TargetLeastLikely,0.514548298076
0.33,0.33,0.9,0.9,0,PerfectClassifier,0.54699335703,0.550514167892,0.548753762461,TargetMostLikely,0.509060212418
0.33,0.33,0.9,0.9,0,PerfectClassifier,0.54699335703,0.550514167892,0.548753762461,TargetMaxTreatment,0.523488032401
0.33,0.33,0.95,0.95,0,PerfectClassifier,0.523503052732,0.513054718503,0.518278885617,TargetLeastLikely,0.499671039326
0.33,0.33,0.95,0.95,0,PerfectClassifier,0.523503052732,0.513054718503,0.518278885617,TargetMostLikely,0.514872271474
0.33,0.33,0.95,0.95,0,PerfectClassifier,0.523503052732,0.513054718503,0.518278885617,TargetMaxTreatment,0.514564591713
